customerID,churn_probability,tenure_risk,contract_risk,health_score,health_category,monthly_charges,annual_revenue_at_risk,recommended_action
4190-MFLUW,0.1708064297762811,0.8611111111111112,1.0,45.6,🟡 At Risk,55.2,113.14,Proactive check-in — contact within 1 week
4183-MYFRB,0.5810907622599649,0.7083333333333333,1.0,29.7,🔴 Critical,90.05,627.93,Immediate outreach — schedule call within 24 hours
8779-QRDMV,0.7185513015439768,0.9861111111111112,1.0,14.5,🔴 Critical,39.65,341.89,Immediate outreach — schedule call within 24 hours
1680-VDCWW,0.07609597247130637,0.8333333333333334,0.5,61.2,🟡 At Risk,19.8,18.08,Proactive check-in — contact within 1 week
1066-JKSGK,0.17760033230215538,0.9861111111111112,1.0,41.5,🟡 At Risk,20.15,42.94,Proactive check-in — contact within 1 week
3638-WEABW,0.01944140237302886,0.19444444444444442,0.0,93.2,🟢 Healthy,59.9,13.97,Quarterly review — focus on expansion opportunities
6322-HRPFA,0.03215746300078782,0.3194444444444444,1.0,68.8,🟡 At Risk,59.6,23.0,Proactive check-in — contact within 1 week
6865-JZNKO,0.1267400088117234,0.5833333333333333,1.0,56.2,🟡 At Risk,55.3,84.1,Proactive check-in — contact within 1 week
6467-CHFZW,0.4698892828745636,0.3472222222222222,1.0,46.1,🟡 At Risk,99.35,560.2,Proactive check-in — contact within 1 week
8665-UTDHZ,0.458196606985559,0.9861111111111112,1.0,27.5,🔴 Critical,30.2,166.05,Immediate outreach — schedule call within 24 hours
5248-YGIJN,0.014455776140427952,0.0,0.0,99.3,🟢 Healthy,90.25,15.66,Quarterly review — focus on expansion opportunities
8773-HHUOZ,0.3692111758323548,0.7638888888888888,1.0,38.6,🔴 Critical,64.7,286.66,Immediate outreach — schedule call within 24 hours
3841-NFECX,0.02326131080634641,0.01388888888888884,0.0,98.4,🟢 Healthy,96.35,26.89,Quarterly review — focus on expansion opportunities
4929-XIHVW,0.7528581133757873,0.9722222222222222,1.0,13.2,🔴 Critical,95.5,862.78,Immediate outreach — schedule call within 24 hours
6827-IEAUQ,0.03711681466090325,0.625,0.5,69.4,🟡 At Risk,66.15,29.46,Proactive check-in — contact within 1 week
7310-EGVHZ,0.17574850386130497,0.9861111111111112,1.0,41.6,🟡 At Risk,20.2,42.6,Proactive check-in — contact within 1 week
3413-BMNZE,0.35500238974628023,0.9861111111111112,1.0,32.7,🔴 Critical,45.25,192.77,Immediate outreach — schedule call within 24 hours
6234-RAAPL,0.016253005481903875,0.0,0.0,99.2,🟢 Healthy,99.9,19.48,Quarterly review — focus on expansion opportunities
6047-YHPVI,0.6575199027553454,0.9305555555555556,1.0,19.2,🔴 Critical,69.7,549.95,Immediate outreach — schedule call within 24 hours
6572-ADKRS,0.24970943254414826,0.36111111111111116,1.0,56.7,🟡 At Risk,74.8,224.14,Proactive check-in — contact within 1 week
5380-WJKOV,0.598160386397985,0.5277777777777778,1.0,34.3,🔴 Critical,106.35,763.37,Immediate outreach — schedule call within 24 hours
8168-UQWWF,0.7340732251437784,0.8472222222222222,1.0,17.9,🔴 Critical,97.85,861.95,Immediate outreach — schedule call within 24 hours
8865-TNMNX,0.12545716279102026,0.8611111111111112,0.5,57.9,🟡 At Risk,49.55,74.6,Proactive check-in — contact within 1 week
9489-DEDVP,0.01300145878658574,0.02777777777777779,0.0,98.5,🟢 Healthy,69.2,10.8,Quarterly review — focus on expansion opportunities
9867-JCZSP,0.05543504167147311,0.7638888888888888,0.5,64.3,🟡 At Risk,20.75,13.8,Proactive check-in — contact within 1 week
4671-VJLCL,0.01321240828768794,0.125,0.0,95.6,🟢 Healthy,79.85,12.66,Quarterly review — focus on expansion opportunities
4080-IIARD,0.306665738948004,0.8194444444444444,1.0,40.1,🟡 At Risk,76.2,280.42,Proactive check-in — contact within 1 week
3714-NTNFO,0.45978525529182,0.3194444444444444,1.0,47.4,🟡 At Risk,84.5,466.22,Proactive check-in — contact within 1 week
5948-UJZLF,0.2879747536664963,0.9722222222222222,1.0,36.4,🔴 Critical,49.25,170.19,Immediate outreach — schedule call within 24 hours
7760-OYPDY,0.7244213291613145,0.9722222222222222,1.0,14.6,🔴 Critical,80.65,701.09,Immediate outreach — schedule call within 24 hours
7639-LIAYI,0.029865184351186597,0.2777777777777778,0.0,90.2,🟢 Healthy,79.75,28.58,Quarterly review — focus on expansion opportunities
2954-PIBKO,0.008941823362716102,0.04166666666666663,0.0,98.3,🟢 Healthy,64.15,6.88,Quarterly review — focus on expansion opportunities
8012-SOUDQ,0.4850450397766629,0.4027777777777778,1.0,43.7,🟡 At Risk,90.25,525.3,Proactive check-in — contact within 1 week
9420-LOJKX,0.48370663075416903,0.7916666666666666,1.0,32.1,🔴 Critical,99.1,575.22,Immediate outreach — schedule call within 24 hours
6575-SUVOI,0.2150419492520973,0.6527777777777778,1.0,49.7,🟡 At Risk,69.5,179.34,Proactive check-in — contact within 1 week
7495-OOKFY,0.6192240034278217,0.8888888888888888,1.0,22.4,🔴 Critical,80.65,599.28,Immediate outreach — schedule call within 24 hours
4667-QONEA,0.027075278014509343,0.16666666666666663,0.5,83.6,🟢 Healthy,74.85,24.32,Quarterly review — focus on expansion opportunities
1658-BYGOY,0.7741677840918568,0.75,1.0,18.8,🔴 Critical,95.45,886.73,Immediate outreach — schedule call within 24 hours
8769-KKTPH,0.12035739777039506,0.125,0.5,80.2,🟢 Healthy,99.65,143.92,Quarterly review — focus on expansion opportunities
5067-XJQFU,0.17688216559995704,0.08333333333333337,0.5,78.7,🟢 Healthy,108.45,230.19,Quarterly review — focus on expansion opportunities
3957-SQXML,0.01870519798106121,0.5277777777777778,0.0,83.2,🟢 Healthy,24.95,5.6,Quarterly review — focus on expansion opportunities
5954-BDFSG,0.05290528429231344,0.0,0.0,97.4,🟢 Healthy,107.5,68.25,Quarterly review — focus on expansion opportunities
0434-CSFON,0.544848377083381,0.3472222222222222,1.0,42.3,🟡 At Risk,100.5,657.09,Proactive check-in — contact within 1 week
1215-FIGMP,0.24928360507188388,0.16666666666666663,1.0,62.5,🟡 At Risk,89.9,268.93,Proactive check-in — contact within 1 week
0526-SXDJP,0.01097508621549738,0.0,0.0,99.5,🟢 Healthy,42.1,5.54,Quarterly review — focus on expansion opportunities
0557-ASKVU,0.10438697683142191,0.75,0.5,62.3,🟡 At Risk,54.4,68.14,Proactive check-in — contact within 1 week
5698-BQJOH,0.7403659003277133,0.875,1.0,16.7,🔴 Critical,94.4,838.69,Immediate outreach — schedule call within 24 hours
5122-CYFXA,0.48396845088439755,0.9583333333333334,1.0,27.1,🔴 Critical,75.3,437.31,Immediate outreach — schedule call within 24 hours
8627-ZYGSZ,0.23842464364398752,0.3472222222222222,0.5,67.7,🟡 At Risk,78.9,225.74,Proactive check-in — contact within 1 week
3410-YOQBQ,0.04633556394493954,0.5694444444444444,0.0,80.6,🟢 Healthy,79.2,44.04,Quarterly review — focus on expansion opportunities
3170-NMYVV,0.009152224703351874,0.3055555555555556,0.0,90.4,🟢 Healthy,20.15,2.21,Quarterly review — focus on expansion opportunities
7410-OIEDU,0.44104649807778895,0.8611111111111112,1.0,32.1,🔴 Critical,79.85,422.61,Immediate outreach — schedule call within 24 hours
2273-QCKXA,0.25798164240485794,0.9861111111111112,1.0,37.5,🔴 Critical,49.05,151.85,Immediate outreach — schedule call within 24 hours
0731-EBJQB,0.0346808887054475,0.2777777777777778,0.5,79.9,🟢 Healthy,20.4,8.49,Quarterly review — focus on expansion opportunities
1891-QRQSA,0.052662204741752774,0.11111111111111116,0.0,94.0,🟢 Healthy,111.6,70.53,Quarterly review — focus on expansion opportunities
8028-PNXHQ,0.011585821813463062,0.13888888888888884,0.0,95.3,🟢 Healthy,24.25,3.37,Quarterly review — focus on expansion opportunities
5630-AHZIL,0.2579456442323391,0.9583333333333334,1.0,38.4,🔴 Critical,64.5,199.65,Immediate outreach — schedule call within 24 hours
2673-CXQEU,0.1763273836327663,0.2222222222222222,0.5,74.5,🟢 Healthy,110.5,233.81,Quarterly review — focus on expansion opportunities
6416-JNVRK,0.06662087045601849,0.36111111111111116,0.5,75.8,🟢 Healthy,55.65,44.49,Quarterly review — focus on expansion opportunities
5590-ZSKRV,0.162684935317706,0.8888888888888888,1.0,45.2,🟡 At Risk,54.65,106.69,Proactive check-in — contact within 1 week
0191-ZHSKZ,0.29709440129237025,0.5833333333333333,1.0,47.6,🟡 At Risk,74.75,266.49,Proactive check-in — contact within 1 week
3887-PBQAO,0.037837305123478764,0.375,0.5,76.9,🟢 Healthy,25.9,11.76,Quarterly review — focus on expansion opportunities
5919-TMRGD,0.6999092385047245,0.9861111111111112,1.0,15.4,🔴 Critical,79.35,666.45,Immediate outreach — schedule call within 24 hours
8108-UXRQN,0.449070769435845,0.8472222222222222,1.0,32.1,🔴 Critical,50.55,272.41,Immediate outreach — schedule call within 24 hours
9191-MYQKX,0.5772079029344775,0.9027777777777778,1.0,24.1,🔴 Critical,75.15,520.53,Immediate outreach — schedule call within 24 hours
9919-YLNNG,0.3175652474456739,0.41666666666666663,1.0,51.6,🟡 At Risk,103.8,395.56,Proactive check-in — contact within 1 week
0318-ZOPWS,0.01555587879952151,0.3194444444444444,0.0,89.6,🟢 Healthy,20.15,3.76,Quarterly review — focus on expansion opportunities
4445-ZJNMU,0.6953926098729519,0.875,1.0,19.0,🔴 Critical,99.3,828.63,Immediate outreach — schedule call within 24 hours
4808-YNLEU,0.08711587863945724,0.5138888888888888,0.5,70.2,🟢 Healthy,62.15,64.97,Quarterly review — focus on expansion opportunities
1862-QRWPE,0.009690035161399997,0.33333333333333337,0.0,89.5,🟢 Healthy,20.65,2.4,Quarterly review — focus on expansion opportunities
2796-NNUFI,0.014672471471834847,0.36111111111111116,0.0,88.4,🟢 Healthy,19.95,3.51,Quarterly review — focus on expansion opportunities
3016-KSVCP,0.30267303295978437,0.5972222222222222,1.0,46.9,🟡 At Risk,33.75,122.58,Proactive check-in — contact within 1 week
4767-HZZHQ,0.24703877207530248,0.5833333333333333,1.0,50.1,🟡 At Risk,82.05,243.23,Proactive check-in — contact within 1 week
2424-WVHPL,0.5714445362698414,0.9861111111111112,1.0,21.8,🔴 Critical,74.7,512.24,Immediate outreach — schedule call within 24 hours
7233-PAHHL,0.019072766543865093,0.08333333333333337,0.0,96.5,🟢 Healthy,84.0,19.23,Quarterly review — focus on expansion opportunities
6067-NGCEU,0.19157857782447862,0.09722222222222221,1.0,67.5,🟡 At Risk,111.05,255.3,Proactive check-in — contact within 1 week
9848-JQJTX,0.07528334757964739,0.0,0.0,96.2,🟢 Healthy,100.9,91.15,Quarterly review — focus on expansion opportunities
8637-XJIVR,0.5763023499858153,0.8333333333333334,1.0,26.2,🔴 Critical,78.95,545.99,Immediate outreach — schedule call within 24 hours
9803-FTJCG,0.014859540739501392,0.01388888888888884,0.5,88.8,🟢 Healthy,66.85,11.92,Quarterly review — focus on expansion opportunities
0278-YXOOG,0.15742534674670658,0.9305555555555556,1.0,44.2,🟡 At Risk,21.05,39.77,Proactive check-in — contact within 1 week
3212-KXOCR,0.009518607032325436,0.2777777777777778,0.0,91.2,🟢 Healthy,21.0,2.4,Quarterly review — focus on expansion opportunities
4598-XLKNJ,0.6612435302384708,0.6527777777777778,1.0,27.4,🔴 Critical,98.5,781.59,Immediate outreach — schedule call within 24 hours
6380-ARCEH,0.1774868497419519,0.9861111111111112,1.0,41.5,🟡 At Risk,20.2,43.02,Proactive check-in — contact within 1 week
3679-XASPY,0.21029420518800657,0.9861111111111112,1.0,39.9,🔴 Critical,19.45,49.08,Immediate outreach — schedule call within 24 hours
7123-WQUHX,0.17522476706034998,0.4722222222222222,0.5,67.1,🟡 At Risk,95.0,199.76,Proactive check-in — contact within 1 week
5386-THSLQ,0.06254821955398711,0.08333333333333337,0.5,84.4,🟢 Healthy,45.55,34.19,Quarterly review — focus on expansion opportunities
3192-NQECA,0.06217283918868834,0.05555555555555558,0.0,95.2,🟢 Healthy,110.0,82.07,Quarterly review — focus on expansion opportunities
6180-YBIQI,0.4149975139332553,0.9305555555555556,1.0,31.3,🔴 Critical,24.3,121.01,Immediate outreach — schedule call within 24 hours
6728-DKUCO,0.1192523732701878,0.0,0.5,84.0,🟢 Healthy,104.15,149.04,Quarterly review — focus on expansion opportunities
9750-BOOHV,0.0907905838437881,0.5555555555555556,0.5,68.8,🟡 At Risk,30.15,32.85,Proactive check-in — contact within 1 week
8597-CWYHH,0.2626489939075164,0.4027777777777778,0.5,64.8,🟡 At Risk,94.35,297.37,Proactive check-in — contact within 1 week
2848-YXSMW,0.00415409100449244,0.0,0.0,99.8,🟢 Healthy,19.4,0.97,Quarterly review — focus on expansion opportunities
0486-HECZI,0.2695465028228919,0.23611111111111116,1.0,59.4,🟡 At Risk,96.75,312.94,Proactive check-in — contact within 1 week
4549-ZDQYY,0.020536859020932212,0.2777777777777778,0.5,80.6,🟢 Healthy,57.95,14.28,Quarterly review — focus on expansion opportunities
5712-AHQNN,0.3719656472357235,0.4027777777777778,1.0,49.3,🟡 At Risk,91.65,409.09,Proactive check-in — contact within 1 week
4846-WHAFZ,0.5200291948118577,0.48611111111111116,1.0,39.4,🔴 Critical,76.5,477.39,Immediate outreach — schedule call within 24 hours
5256-SKJGO,0.04458941916584202,0.11111111111111116,0.0,94.4,🟢 Healthy,54.6,29.21,Quarterly review — focus on expansion opportunities
3071-VBYPO,0.48603264069824437,0.9583333333333334,1.0,26.9,🔴 Critical,89.85,524.04,Immediate outreach — schedule call within 24 hours
9560-BBZXK,0.0381306655707702,0.5,0.0,83.1,🟢 Healthy,31.05,14.21,Quarterly review — focus on expansion opportunities
5299-RULOA,0.6906031513952493,0.8611111111111112,1.0,19.6,🔴 Critical,100.25,830.8,Immediate outreach — schedule call within 24 hours
8402-OOOHJ,0.013819444143467374,0.4305555555555556,0.0,86.4,🟢 Healthy,20.65,3.42,Quarterly review — focus on expansion opportunities
9445-ZUEQE,0.312015081015268,0.625,1.0,45.6,🟡 At Risk,85.2,319.0,Proactive check-in — contact within 1 week
1091-SOZGA,0.20685888004247213,0.2222222222222222,0.5,73.0,🟢 Healthy,99.8,247.73,Quarterly review — focus on expansion opportunities
2928-HLDBA,0.15384218451403622,0.9166666666666666,1.0,44.8,🟡 At Risk,20.7,38.21,Proactive check-in — contact within 1 week
0404-SWRVG,0.7325148812705475,0.9583333333333334,1.0,14.6,🔴 Critical,74.4,653.99,Immediate outreach — schedule call within 24 hours
6497-TILVL,0.18508985762401137,0.9027777777777778,1.0,43.7,🟡 At Risk,50.7,112.61,Proactive check-in — contact within 1 week
7219-TLZHO,0.14679745633028024,0.9444444444444444,1.0,44.3,🟡 At Risk,20.85,36.73,Proactive check-in — contact within 1 week
4622-YNKIJ,0.10162838461700359,0.5416666666666667,0.0,78.7,🟢 Healthy,88.95,108.48,Quarterly review — focus on expansion opportunities
4412-YLTKF,0.6017095175171733,0.625,1.0,31.2,🔴 Critical,78.05,563.56,Immediate outreach — schedule call within 24 hours
6734-PSBAW,0.010051120566047216,0.0,0.0,99.5,🟢 Healthy,23.55,2.84,Quarterly review — focus on expansion opportunities
3930-ZGWVE,0.17851024123834466,0.9861111111111112,1.0,41.5,🟡 At Risk,19.75,42.31,Proactive check-in — contact within 1 week
2639-UGMAZ,0.08631346442592899,0.01388888888888884,0.5,85.3,🟢 Healthy,56.45,58.47,Quarterly review — focus on expansion opportunities
2876-GZYZC,0.7298252333016971,0.8194444444444444,1.0,18.9,🔴 Critical,85.95,752.74,Immediate outreach — schedule call within 24 hours
6207-WIOLX,0.29943967634340557,0.6527777777777778,1.0,45.4,🟡 At Risk,58.6,210.57,Proactive check-in — contact within 1 week
8587-XYZSF,0.00929023764316958,0.06944444444444442,0.0,97.5,🟢 Healthy,50.55,5.64,Quarterly review — focus on expansion opportunities
3091-FYHKI,0.6804139757776785,0.9861111111111112,1.0,16.4,🔴 Critical,35.45,289.45,Immediate outreach — schedule call within 24 hours
2372-HWUHI,0.38933047468801435,0.9722222222222222,1.0,31.4,🔴 Critical,44.35,207.2,Immediate outreach — schedule call within 24 hours
7799-LGRDP,0.02153762083102963,0.4027777777777778,0.0,86.8,🟢 Healthy,25.7,6.64,Quarterly review — focus on expansion opportunities
7850-VWJUU,0.3357183637984005,0.6805555555555556,1.0,42.8,🟡 At Risk,75.0,302.15,Proactive check-in — contact within 1 week
3774-VBNXY,0.0058741840117807,0.11111111111111116,0.0,96.4,🟢 Healthy,20.2,1.42,Quarterly review — focus on expansion opportunities
6217-KDYWC,0.009798817971940686,0.20833333333333337,0.0,93.3,🟢 Healthy,19.6,2.3,Quarterly review — focus on expansion opportunities
0390-DCFDQ,0.6619452615845305,0.9861111111111112,1.0,17.3,🔴 Critical,70.45,559.61,Immediate outreach — schedule call within 24 hours
3146-MSEGF,0.014813286007606268,0.0,0.0,99.3,🟢 Healthy,88.05,15.65,Quarterly review — focus on expansion opportunities
4080-OGPJL,0.31194535680934016,0.8888888888888888,1.0,37.7,🔴 Critical,71.15,266.34,Immediate outreach — schedule call within 24 hours
1095-WGNGG,0.10154071450027032,0.1527777777777778,0.0,90.3,🟢 Healthy,101.05,123.13,Quarterly review — focus on expansion opportunities
2636-SJDOU,0.06874060692924396,0.11111111111111116,0.5,83.2,🟢 Healthy,84.3,69.54,Quarterly review — focus on expansion opportunities
1131-QQZEB,0.008731904772785138,0.01388888888888884,0.0,99.1,🟢 Healthy,23.95,2.51,Quarterly review — focus on expansion opportunities
5716-EZXZN,0.026178846830924845,0.09722222222222221,0.0,95.8,🟢 Healthy,99.05,31.12,Quarterly review — focus on expansion opportunities
6837-BJYDQ,0.09608693282787882,0.9583333333333334,0.5,56.4,🟡 At Risk,19.6,22.6,Proactive check-in — contact within 1 week
2135-RXIHG,0.4735356260804674,0.9861111111111112,1.0,26.7,🔴 Critical,45.65,259.4,Immediate outreach — schedule call within 24 hours
6440-DKQGE,0.07505745601606048,0.5833333333333333,0.5,68.7,🟡 At Risk,64.5,58.09,Proactive check-in — contact within 1 week
3466-BYAVD,0.24895142946949772,0.7916666666666666,1.0,43.8,🟡 At Risk,69.5,207.63,Proactive check-in — contact within 1 week
3780-YVMFA,0.45537552532220554,0.8888888888888888,1.0,30.6,🔴 Critical,68.55,374.59,Immediate outreach — schedule call within 24 hours
3874-EQOEP,0.6871985364205616,0.9027777777777778,1.0,18.6,🔴 Critical,95.0,783.41,Immediate outreach — schedule call within 24 hours
1679-JRFBR,0.08879641699315914,0.02777777777777779,0.5,84.7,🟢 Healthy,108.15,115.24,Quarterly review — focus on expansion opportunities
9073-ZZIAY,0.013631453848693447,0.13888888888888884,0.0,95.2,🟢 Healthy,86.1,14.08,Quarterly review — focus on expansion opportunities
3077-RSNTJ,0.1409424731787616,0.9166666666666666,1.0,45.5,🟡 At Risk,19.7,33.32,Proactive check-in — contact within 1 week
6551-GNYDG,0.5571533595999494,0.8055555555555556,1.0,28.0,🔴 Critical,80.9,540.88,Immediate outreach — schedule call within 24 hours
9167-APMXZ,0.5724559365319061,0.6944444444444444,1.0,30.5,🔴 Critical,84.15,578.07,Immediate outreach — schedule call within 24 hours
2749-CTKAJ,0.04789219930788664,0.6944444444444444,0.5,66.8,🟡 At Risk,20.15,11.58,Proactive check-in — contact within 1 week
6371-NZYEG,0.05039543136335724,0.7777777777777778,0.0,74.1,🟢 Healthy,64.25,38.85,Quarterly review — focus on expansion opportunities
7554-NEWDD,0.04826995212394799,0.8611111111111112,0.0,71.8,🟢 Healthy,25.7,14.89,Quarterly review — focus on expansion opportunities
8992-VONJD,0.2264210536214124,0.8194444444444444,1.0,44.1,🟡 At Risk,56.0,152.15,Proactive check-in — contact within 1 week
0867-MKZVY,0.4292176272734572,0.7222222222222222,1.0,36.9,🔴 Critical,82.4,424.41,Immediate outreach — schedule call within 24 hours
4482-EWFMI,0.679262561120482,0.9722222222222222,1.0,16.9,🔴 Critical,69.7,568.14,Immediate outreach — schedule call within 24 hours
4648-YPBTM,0.033394579398946626,0.26388888888888884,0.0,90.4,🟢 Healthy,73.9,29.61,Quarterly review — focus on expansion opportunities
2907-ILJBN,0.06679889177601792,0.8472222222222222,0.5,61.2,🟡 At Risk,20.6,16.51,Proactive check-in — contact within 1 week
6345-FZOQH,0.0059545675041242805,0.04166666666666663,0.0,98.5,🟢 Healthy,19.9,1.42,Quarterly review — focus on expansion opportunities
3376-BMGFE,0.5835727578198054,0.9444444444444444,1.0,22.5,🔴 Critical,70.9,496.5,Immediate outreach — schedule call within 24 hours
5997-OPVFA,0.016041141075622063,0.0,0.0,99.2,🟢 Healthy,89.05,17.14,Quarterly review — focus on expansion opportunities
3445-HXXGF,0.26451687336347657,0.19444444444444442,1.0,60.9,🟡 At Risk,45.3,143.79,Proactive check-in — contact within 1 week
1159-WFSGR,0.13841276215157258,0.7777777777777778,1.0,49.7,🟡 At Risk,20.4,33.88,Proactive check-in — contact within 1 week
7654-YWJUF,0.09592492570032413,0.4027777777777778,0.5,73.1,🟢 Healthy,84.25,96.98,Quarterly review — focus on expansion opportunities
1875-QIVME,0.7928191513053968,0.9722222222222222,1.0,11.2,🔴 Critical,104.4,993.24,Immediate outreach — schedule call within 24 hours
6727-IOTLZ,0.0789417032199051,0.8055555555555556,0.0,71.9,🟢 Healthy,81.95,77.63,Quarterly review — focus on expansion opportunities
0691-JVSYA,0.21889306956601695,0.26388888888888884,0.5,71.1,🟢 Healthy,94.85,249.14,Quarterly review — focus on expansion opportunities
5918-VUKWP,0.03854112395659917,0.5555555555555556,0.5,71.4,🟢 Healthy,20.55,9.5,Quarterly review — focus on expansion opportunities
1744-JHKYS,0.1246877260201632,0.5277777777777778,1.0,57.9,🟡 At Risk,24.7,36.96,Proactive check-in — contact within 1 week
2656-FMOKZ,0.6131064680759472,0.7916666666666666,1.0,25.6,🔴 Critical,74.45,547.75,Immediate outreach — schedule call within 24 hours
2070-FNEXE,0.41334137788455655,0.9027777777777778,1.0,32.2,🔴 Critical,76.45,379.2,Immediate outreach — schedule call within 24 hours
5947-SGKCL,0.6428346344587204,0.7916666666666666,1.0,24.1,🔴 Critical,105.35,812.67,Immediate outreach — schedule call within 24 hours
3712-PKXZA,0.02050629100952549,0.1527777777777778,0.5,84.4,🟢 Healthy,20.55,5.06,Quarterly review — focus on expansion opportunities
6317-YPKDH,0.4074950745197724,0.9861111111111112,1.0,30.0,🔴 Critical,29.95,146.45,Immediate outreach — schedule call within 24 hours
6582-OIVSP,0.3210191861921221,0.9861111111111112,1.0,34.4,🔴 Critical,45.3,174.51,Immediate outreach — schedule call within 24 hours
9367-WXLCH,0.6269801958750996,0.8888888888888888,1.0,22.0,🔴 Critical,84.5,635.76,Immediate outreach — schedule call within 24 hours
5524-KHNJP,0.07625370901524026,0.5416666666666667,0.5,69.9,🟡 At Risk,74.75,68.4,Proactive check-in — contact within 1 week
1918-ZBFQJ,0.5655857406088031,0.8194444444444444,1.0,27.1,🔴 Critical,79.25,537.87,Immediate outreach — schedule call within 24 hours
1024-GUALD,0.6183595707437186,0.9861111111111112,1.0,19.5,🔴 Critical,24.8,184.02,Immediate outreach — schedule call within 24 hours
4827-USJHP,0.23112904217422642,0.7222222222222222,1.0,46.8,🟡 At Risk,51.8,143.67,Proactive check-in — contact within 1 week
8167-GJLRN,0.4243498626827211,0.9583333333333334,1.0,30.0,🔴 Critical,30.4,154.8,Immediate outreach — schedule call within 24 hours
0956-SYCWG,0.09514017178796096,0.8194444444444444,0.5,60.7,🟡 At Risk,19.65,22.43,Proactive check-in — contact within 1 week
8017-UVSZU,0.12518072134007366,0.4444444444444444,1.0,60.4,🟡 At Risk,56.6,85.02,Proactive check-in — contact within 1 week
7100-FQPRV,0.057224114463998534,0.4027777777777778,0.5,75.1,🟢 Healthy,71.9,49.37,Quarterly review — focus on expansion opportunities
2472-OVKUP,0.7021178398210033,0.9166666666666666,1.0,17.4,🔴 Critical,91.0,766.71,Immediate outreach — schedule call within 24 hours
2984-RGEYA,0.0049678153325758275,0.04166666666666663,0.0,98.5,🟢 Healthy,19.75,1.18,Quarterly review — focus on expansion opportunities
9680-NIAUV,0.02884181817887255,0.0,0.0,98.6,🟢 Healthy,109.7,37.97,Quarterly review — focus on expansion opportunities
2146-EGVDT,0.006351180582229381,0.18055555555555558,0.0,94.3,🟢 Healthy,19.3,1.47,Quarterly review — focus on expansion opportunities
2604-IJPDU,0.3867616364416812,0.7222222222222222,1.0,39.0,🔴 Critical,96.55,448.1,Immediate outreach — schedule call within 24 hours
9178-JHUVJ,0.0391246610687597,0.6666666666666667,0.0,78.0,🟢 Healthy,24.1,11.31,Quarterly review — focus on expansion opportunities
6168-YBYNP,0.32153819977462006,0.18055555555555558,1.0,58.5,🟡 At Risk,111.35,429.64,Proactive check-in — contact within 1 week
7255-SSFBC,0.0451312390171746,0.0,0.0,97.7,🟢 Healthy,112.25,60.79,Quarterly review — focus on expansion opportunities
3645-DEYGF,0.15257254449836546,0.9861111111111112,1.0,42.8,🟡 At Risk,20.75,37.99,Proactive check-in — contact within 1 week
9323-HGFWY,0.21654837922433084,0.625,0.5,60.4,🟡 At Risk,101.9,264.8,Proactive check-in — contact within 1 week
